value,report_period_begin,region_name,report_period_end
25,2022-01-01,Карачаево-Черкесская Респ.,2022-04-01
48,2022-01-01,Курганская область,2022-04-01
57,2022-01-01,Тамбовская область,2022-04-01
33,2022-01-01,Курская область,2022-04-01
252,2022-01-01,Приморский край,2022-04-01
143,2022-01-01,Ленинградская область,2022-04-01
159,2022-01-01,Хабаровский край,2022-04-01
1423,2022-01-01,г. Москва,2022-04-01
51,2022-01-01,Астраханская область,2022-04-01
58,2022-01-01,Мурманская область,2022-04-01
10,2022-01-01,Брянская область,2022-04-01
64,2022-01-01,Тверская область,2022-05-01
150,2022-01-01,Кировская область,2022-05-01
478,2022-01-01,Республика Татарстан,2022-04-01
124,2022-01-01,Томская область,2022-04-01
8,2022-01-01,Республика Тыва,2022-04-01
554,2022-01-01,г. Санкт-Петербург,2022-04-01
44,2022-01-01,Тульская область,2022-04-01
88,2022-01-01,Липецкая область,2022-04-01
15,2022-01-01,Магаданская область,2022-04-01
35,2022-01-01,Республика Ингушетия,2022-04-01
432,2022-01-01,Московская область,2022-04-01
1,2022-01-01,Чукотский АО,2022-04-01
34,2022-01-01,Новгородская  область,2022-04-01
28,2022-01-01,Республика Адыгея,2022-04-01
100,2022-01-01,Калужская область,2022-05-01
69,2022-01-01,Тамбовская область,2022-05-01
499,2022-01-01,Кемеровская область-Кузбасс,2022-05-01
64,2022-01-01,Костромская область,2022-05-01
435,2022-01-01,Самарская область,2022-05-01
150,2022-01-01,Удмуртская Республика,2022-04-01
61,2022-01-01,Ульяновская область,2022-04-01
25,2022-01-01,Чеченская Республика,2022-04-01
