value,report_period_begin,region_name,report_period_end
488,2022-01-01,Дальневосточный ФО,2022-03-01
124,2022-01-01,Сахалинская область,2022-11-01
1893,2022-01-01,Свердловская область,2022-11-01
50,2022-01-01,г. Севастополь,2022-03-01
87,2022-01-01,Республика Крым,2022-03-01
40,2022-01-01,Калужская область,2022-03-01
43,2022-01-01,Ульяновская область,2022-03-01
276,2022-01-01,Томская область,2022-10-01
1757,2022-01-01,Северо-Кавказский ФО,2022-10-01
212,2022-01-01,Ярославская область,2022-11-01
174,2022-01-01,Забайкальский край,2022-11-01
477,2022-01-01,Краснодарский край,2022-03-01
53,2022-01-01,Республика Адыгея,2022-10-01
1220,2022-01-01,Республика Башкортостан,2022-10-01
538,2022-01-01,Новосибирская область,2022-11-01
13,2022-01-01,Республика Калмыкия,2022-11-01
19,2022-01-01,Белгородская область,2022-03-01
122,2022-01-01,Республика Карелия,2022-10-01
229,2022-01-01,Республика Коми,2022-10-01
1891,2021-01-01,Краснодарский край,2021-12-01
99,2022-01-01,Волгоградская область,2022-03-01
44,2022-01-01,Вологодская область,2022-03-01
237,2022-01-01,Республика Сев. Осетия-Алания,2022-10-01
82,2022-01-01,Карачаево-Черкесская Респ.,2022-10-01
141,2022-01-01,Республика Хакасия,2022-11-01
64,2022-01-01,Чеченская Республика,2022-11-01
279,2022-01-01,Кемеровская область-Кузбасс,2022-03-01
131,2022-01-01,Иркутская область,2022-03-01
28,2022-01-01,Еврейская АО,2022-10-01
337,2022-01-01,Архангельская область,2022-11-01
190,2022-01-01,Курганская область,2022-11-01
773,2022-01-01,Алтайский край,2022-10-01
174,2022-01-01,Приморский край,2022-03-01
1030,2022-01-01,г. Москва,2022-03-01
8,2022-01-01,Брянская область,2022-03-01
26,2022-01-01,Орловская область,2022-03-01
47,2021-01-01,Брянская область,2021-12-01
480,2021-01-01,Владимирская область,2021-12-01
8,2022-01-01,Рязанская область,2022-03-01
5216,2022-01-01,Южный ФО,2022-11-01
9778,2022-01-01,Центральный ФО,2022-11-01
32,2022-01-01,Тульская область,2022-03-01
